id,order_id,product_id,quantity,total,updated_at_x,created_at_x,name,price,status,date,time,weekday,hour
15,10,2,1,15,2025-04-21 13:56:11,2025-04-21 13:56:11,samosa,15,1,2025-04-21,13:56:11,Monday,13
16,10,3,2,20,2025-04-21 13:56:11,2025-04-21 13:56:11,chaii,10,1,2025-04-21,13:56:11,Monday,13
17,11,2,2,30,2025-04-21 13:57:34,2025-04-21 13:57:34,samosa,15,1,2025-04-21,13:57:34,Monday,13
18,11,3,2,20,2025-04-21 13:57:34,2025-04-21 13:57:34,chaii,10,1,2025-04-21,13:57:34,Monday,13
19,12,2,2,30,2025-04-21 13:58:15,2025-04-21 13:58:15,samosa,15,1,2025-04-21,13:58:15,Monday,13
20,12,3,1,10,2025-04-21 13:58:15,2025-04-21 13:58:15,chaii,10,1,2025-04-21,13:58:15,Monday,13
21,13,2,5,75,2025-04-22 09:45:06,2025-04-22 09:45:06,samosa,15,1,2025-04-22,09:45:06,Tuesday,9
22,13,3,3,30,2025-04-22 09:45:06,2025-04-22 09:45:06,chaii,10,1,2025-04-22,09:45:06,Tuesday,9
23,14,2,3,45,2025-04-22 13:17:24,2025-04-22 13:17:24,samosa,15,1,2025-04-22,13:17:24,Tuesday,13
24,14,3,6,60,2025-04-22 13:17:24,2025-04-22 13:17:24,chaii,10,1,2025-04-22,13:17:24,Tuesday,13
25,15,2,10,150,2025-04-23 13:22:53,2025-04-23 13:22:53,samosa,15,1,2025-04-23,13:22:53,Wednesday,13
26,15,3,5,50,2025-04-23 13:22:53,2025-04-23 13:22:53,chaii,10,1,2025-04-23,13:22:53,Wednesday,13
27,16,2,3,45,2025-04-23 14:30:47,2025-04-23 14:30:47,samosa,15,1,2025-04-23,14:30:47,Wednesday,14
28,16,3,3,30,2025-04-23 14:30:47,2025-04-23 14:30:47,chaii,10,1,2025-04-23,14:30:47,Wednesday,14
29,17,2,3,45,2025-04-24 09:15:59,2025-04-24 09:15:59,samosa,15,1,2025-04-24,09:15:59,Thursday,9
30,17,3,3,30,2025-04-24 09:15:59,2025-04-24 09:15:59,chaii,10,1,2025-04-24,09:15:59,Thursday,9
31,18,2,5,75,2025-04-24 10:24:13,2025-04-24 10:24:13,samosa,15,1,2025-04-24,10:24:13,Thursday,10
32,18,3,7,70,2025-04-24 10:24:13,2025-04-24 10:24:13,chaii,10,1,2025-04-24,10:24:13,Thursday,10
33,19,2,3,45,2025-04-24 10:45:49,2025-04-24 10:45:49,samosa,15,1,2025-04-24,10:45:49,Thursday,10
34,19,3,7,70,2025-04-24 10:45:49,2025-04-24 10:45:49,chaii,10,1,2025-04-24,10:45:49,Thursday,10
